Algorithm,Size 5x5,Size 10x10,Size 15x15,Size 20x20,Size 25x25,Size 30x30,Size 40x40,Size 50x50,Size 60x60,Size 70x70,Size 80x80
kruskal_weighted,395.76051126332885,1144.936462053679,2410.3521011218527,4158.960028341715,6437.233932967276,9189.197212389588,16222.601029173708,25309.38354609571,36313.4956102402,49350.15597254101,64362.4159457042
ellers,352.19031141868516,1143.772672731954,2370.3899508069153,4114.0541825232995,6357.785176011985,9122.83631487934,16126.840299949254,25117.703291982885,36118.72613959136,49102.252293718826,64117.50301708225
sidewinder,371.636678200692,1126.791654394671,2378.985070388784,4133.446650012346,6383.717419463815,9132.060386115985,16158.088197366433,25164.995928725973,36169.50829086719,49183.55066384106,64219.07103888772
cellular_automata,136.9038062283737,741.243276039415,1527.280475707891,2702.008349332667,4124.498314145727,5804.717661214788,10548.038492927759,12093.220397380155,29347.250691450714,31709.3306406927,51898.08828943285
binary_tree,361.8096885813149,1115.2818191292204,2351.777528220937,4100.9087751747265,6345.857084021152,9100.668802317641,16094.739006436173,25102.47839450895,36081.54699363034,49097.0203624514,64106.76039999277
hunt_and_kill,387.35928298742965,1162.1064757591405,2452.510154523742,4213.48881854018,6513.251232390348,9285.867719581927,16348.800786147574,25401.34820440634,36425.220869578625,49502.429078103145,64630.075543680185
recursive_division,363.2629757785467,1135.6335743024185,2403.2518258457785,4167.971483602271,6435.999573258277,9212.415200830734,16437.152817010483,25561.79811766144,36658.147890468965,49802.83531950692,64819.89521875987
recursive_backtracker,378.71923346819705,1165.7298450757928,2481.903918912622,4230.908237545608,6681.364353719187,9432.598223379933,16716.925074999337,25864.059127236946,37712.13250020694,50706.41916981019,65980.67492083306
kruskal,374.19723183391005,1141.3653427188601,2412.0811450054152,4173.386308938922,6430.043532753217,9221.425076453594,16236.6710204965,25310.23908444667,36363.13254137097,49361.85299781423,64341.11193990822
quad_tree_maze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aldous_broder,376.82681386280007,1167.080376786444,2404.939170041044,4175.180585531462,6472.80682508278,9184.098253995133,16258.954299972505,25323.58979630347,36376.54806294149,49529.80239601655,64481.384924444385
growing_tree,363.2629757785467,1128.5778860173225,2381.138516531849,4126.039157493775,6384.566026171574,9152.384879936491,16143.867054030638,25139.386539687697,36145.304894845955,49144.37681713228,64171.370585442404
prim,363.401384083045,1116.8602685657956,2388.662422816271,4143.738323496034,6386.871993727092,9144.291474706339,16133.664557067523,25150.759265495628,36180.911767811725,49176.967924080804,64167.97877340176
spiral_backtracker,336.6297577854672,1081.949584186353,2322.4727923913015,4070.718081817523,6319.444575235058,9072.425988705843,16065.920222855628,25061.349868621863,36059.508405690416,49069.0555684124,64059.94637655486
randomized_prufer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
braid_maze_generator,366.51557093425606,1098.747958438306,2350.424811339999,4088.0098242397353,6349.427412679633,9096.583523541118,16105.223445700216,25089.01585350502,36093.61526067576,49105.38494113543,64099.2143628163
fractal_recursive_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wilsons,376.4952932702493,1145.19374405208,2430.0919705731167,4185.842681310139,6438.317128528931,9205.125035257077,16231.461999523672,25325.902961385193,36352.98020124379,49468.33738533779,64499.56155414394
dfs,375.1914840289057,1143.383236850299,2485.8955187369043,4257.986313922787,6650.28478022202,9374.99575664922,16810.811015436833,26153.58795444889,37876.428150754036,50665.49774286789,66592.78291114124
